latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.5417,-122.7245,353.8,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,294.9,226.3,N,0
38.5541,-122.7191,318.5,2.2,1.4,2017-10-09,1045,Aqua,MODIS,97,6.03,290.9,52.2,N,0
38.5562,-122.6673,331.9,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,292.8,95,N,0
38.3994,-122.5117,339.6,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,293.2,142.8,N,0
38.3943,-122.4888,318.5,2.3,1.5,2017-10-09,1045,Aqua,MODIS,97,6.03,291.3,55.5,N,0
38.3813,-122.4924,316.7,2.3,1.5,2017-10-09,1045,Aqua,MODIS,84,6.03,291.5,49.3,N,0
38.3853,-122.4975,332.2,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,294.1,107.6,N,0
38.3723,-122.5011,328.2,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,293.5,90.6,N,0
38.3593,-122.5047,306.1,2.3,1.5,2017-10-09,1045,Aqua,MODIS,67,6.03,290.5,25.9,N,0
38.5742,-122.6878,338.2,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,292.3,130.1,N,0
38.3947,-122.603,362.3,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,295.1,306.9,N,0
38.396,-122.5465,314.5,2.3,1.5,2017-10-09,1045,Aqua,MODIS,71,6.03,291.3,41,N,0
38.6104,-122.6118,412.4,2.2,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,308.1,1093.1,N,0
38.6089,-122.6662,300.1,2.2,1.4,2017-10-09,1045,Aqua,MODIS,13,6.03,289.3,14.1,N,0
38.4016,-122.5724,367.6,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,305.1,359.8,N,0
38.4076,-122.5996,366.7,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,297.6,351,N,0
38.3794,-122.545,317.8,2.3,1.5,2017-10-09,1045,Aqua,MODIS,83,6.03,290.2,47.4,N,0
38.3852,-122.5706,313.4,2.3,1.5,2017-10-09,1045,Aqua,MODIS,87,6.03,290.1,37.3,N,0
38.4361,-122.5529,343.3,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,292.3,165.3,N,0
38.4232,-122.5564,326.9,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,290.5,83,N,2
38.4166,-122.5882,354.5,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,294.6,238.7,N,0
38.4106,-122.5615,362.5,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,298.5,308.2,N,0
38.404,-122.593,395.7,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,304.2,757.7,N,0
38.3979,-122.5659,352.7,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,297.6,224.4,N,0
38.3965,-122.6208,314.8,2.3,1.5,2017-10-09,1045,Aqua,MODIS,90,6.03,289.9,44.1,N,0
38.3911,-122.5969,358.4,2.3,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,295.2,272.5,N,0
38.4929,-122.688,444.3,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,325,2065.5,N,0
38.4873,-122.6629,327.9,2.2,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,292.8,82,N,0
38.5198,-122.6857,373,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,303.2,405.1,N,0
38.5143,-122.6606,371.8,2.2,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,303.6,395.5,N,0
38.5089,-122.6355,312.6,2.3,1.5,2017-10-09,1045,Aqua,MODIS,69,6.03,290.6,36.1,N,0
38.5068,-122.6882,408.8,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,308.2,998.6,N,0
38.5016,-122.6646,375.4,2.2,1.5,2017-10-09,1045,Aqua,MODIS,100,6.03,300.6,437.6,N,0
38.4942,-122.6928,449.4,2.2,1.4,2017-10-09,1045,Aqua,MODIS,100,6.03,329.4,2272.3,N,0
