"lc","lc_name","area_Mkm2","cum_area_Mkm2","cum_pct_total_area","n_events_orig","sum_area_events_orig_km2","mean_area_events_orig_km2","sd_area_events_orig_km2","min_area_events_orig_km2","max_area_events_orig_km2","n_obs_orig","n_obs_suff_stat","n_events_subset","sum_area_events_subset_km2","mean_area_events_subset_km2","sd_area_events_subset_km2","min_area_events_subset_km2","max_area_events_subset_km2","n_obs_subset","vpd_thresh_hpa","sd"
302,"Temperate Evergreen Broadleaf Forests",1.52512913487908,73.6464668817153,0.512188408651105,305,1790.09201400909,5.86915414429208,9.17954165564237,0.216515924162865,122.912627435578,21949,4640,305,1790.09201400909,5.86915414429208,9.17954165564237,0.216515924162865,122.912627435578,4633,5.564,11.8772460180369
207,"Arid Open Shrublands",8.08145977537977,81.7279266570951,0.568392462928112,274,9929.31445133015,36.2383739099641,124.846154102017,0.216515924162865,1756.89627047808,37288,7021,274,9929.31445133015,36.2383739099641,124.846154102017,0.216515924162865,1756.89627047808,7006,7.593,12.6887491643328
208,"Arid Woody Savannas",0.168860069624017,81.8967867267191,0.569566832507638,212,3651.67930534616,17.2249023837083,119.822580864178,0.216515924162865,1579.1367764014,40640,6527,212,3651.67930534616,17.2249023837083,119.822580864178,0.216515924162865,1579.1367764014,6525,14.939,14.9952037377001
409,"Boreal Savannas",5.01176324730952,86.9085499740286,0.604422096458024,186,10744.4125912688,57.7656590928428,223.144719099749,0.216515924162865,2769.66728653693,45726,4038,186,10744.4125912688,57.7656590928428,223.144719099749,0.216515924162865,2769.66728653693,4035,10.528,7.82306950093225
401,"Boreal Evergreen Needleleaf Forests",2.02808375326319,88.9366337272918,0.618526791960435,175,6535.05321702174,37.3431612401242,77.7334887640459,0.216515924162865,609.802446722303,46414,4311,175,6535.05321702174,37.3431612401242,77.7334887640459,0.216515924162865,609.802446722303,4306,10.863,11.699021245305
304,"Temperate Deciduous Broadleaf Forests",0.622466084534068,89.5590998118259,0.622855851137013,175,985.379113048201,5.63073778884686,6.7503607197109,0.216515924162865,49.4622841506958,12152,2489,175,985.379113048201,5.63073778884686,6.7503607197109,0.216515924162865,49.4622841506958,2489,5.511,8.8174614615901
111,"Equatorial Permanent Wetlands",0.386138869671851,89.9452386814978,0.625541327597047,124,1810.35115922311,14.599606122767,35.0623902498915,0.216515924162865,312.452719881891,26310,3015,124,1810.35115922311,14.599606122767,35.0623902498915,0.216515924162865,312.452719881891,3014,13.017,10.74346932481
301,"Temperate Evergreen Needleleaf Forests",0.454558959719675,90.3997976412174,0.628702644630638,113,6390.19114515429,56.5503641164097,187.204667505805,0.216515924162865,1551.706332638,24882,2603,113,6390.19114515429,56.5503641164097,187.204667505805,0.216515924162865,1551.706332638,2600,3.442,9.28907546114913
510,"Polar Grasslands",4.1776681212686,94.577465762486,0.657757034847913,135,764.544010290567,5.66328896511531,7.32505372750978,0.216515924162865,75.6469437911358,6598,1139,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,"Temperate Mixed Forests",0.655415272428235,95.2328810349143,0.662315245439737,80,344.827713937496,4.3103464242187,4.64645990694368,0.216515924162865,24.9467413740568,4159,967,NA,NA,NA,NA,NA,NA,NA,NA,NA
