latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.221,148.3994,308.8,1.5,1.2,2019-12-27,1240,Terra,MODIS,76,6.03,293.2,13.2,N,0
-37.515,147.57,319.2,2.6,1.6,2019-12-27,1556,Aqua,MODIS,98,6.03,294,66.7,N,0
-37.493,147.9138,326.3,2.8,1.6,2019-12-27,1556,Aqua,MODIS,100,6.03,294,99.9,N,0
-37.5204,147.883,317.8,2.8,1.6,2019-12-27,1556,Aqua,MODIS,66,6.03,292.7,63.9,N,0
-37.5373,147.6913,317.4,2.7,1.6,2019-12-27,1556,Aqua,MODIS,74,6.03,294.9,56.2,N,0
-37.5872,148.0021,301.8,2.8,1.6,2019-12-27,1556,Aqua,MODIS,15,6.03,290.7,21.3,N,0
-37.489,147.8899,317.8,2.8,1.6,2019-12-27,1556,Aqua,MODIS,94,6.03,292.4,65.4,N,0
-37.511,147.5753,306.8,2.6,1.6,2019-12-27,1556,Aqua,MODIS,69,6.03,293.5,28.1,N,0
-37.4067,147.7376,306.4,2.7,1.6,2019-12-27,1556,Aqua,MODIS,47,6.03,293.3,25.1,N,0
-37.4049,147.7459,303.3,2.7,1.6,2019-12-27,1556,Aqua,MODIS,21,6.03,293.1,18.8,N,0
-37.3882,147.7128,304.8,2.7,1.6,2019-12-27,1556,Aqua,MODIS,24,6.03,292.7,22.1,N,0
-37.4027,147.7133,307,2.7,1.6,2019-12-27,1556,Aqua,MODIS,69,6.03,293,27.4,N,0
-37.585,147.978,313.2,2.8,1.6,2019-12-27,1556,Aqua,MODIS,87,6.03,291.5,54.5,N,0
-37.5854,147.9705,311.4,2.8,1.6,2019-12-27,1556,Aqua,MODIS,82,6.03,291,48.1,N,0
-37.4047,147.706,302.8,2.7,1.6,2019-12-27,1556,Aqua,MODIS,12,6.03,291.9,15.5,N,0
-37.4909,147.9179,326.7,2.8,1.6,2019-12-27,1556,Aqua,MODIS,100,6.03,293.9,103.7,N,0
-37.5181,147.888,313.1,2.8,1.6,2019-12-27,1556,Aqua,MODIS,35,6.03,292.8,45.8,N,0
-37.4913,147.8856,309,2.8,1.6,2019-12-27,1556,Aqua,MODIS,26,6.03,291.5,33.9,N,0
-37.517,147.6012,317.9,2.7,1.6,2019-12-27,1556,Aqua,MODIS,96,6.03,293,59.8,N,0
-37.5313,147.6006,311.1,2.7,1.6,2019-12-27,1556,Aqua,MODIS,67,6.03,293.6,37.3,N,0
-37.5353,147.6609,323.4,2.7,1.6,2019-12-27,1556,Aqua,MODIS,91,6.03,293.7,77.8,N,0
-37.5517,147.6913,314.4,2.7,1.6,2019-12-27,1556,Aqua,MODIS,53,6.03,294.6,46.4,N,0
-37.4164,147.7371,308.8,1.4,1.2,2019-12-28,1323,Terra,MODIS,14,6.03,273.4,15,N,0
-37.4193,147.7215,309.2,1.4,1.2,2019-12-28,1323,Terra,MODIS,17,6.03,276,16.1,N,0
-37.5167,147.5791,314.5,1.4,1.2,2019-12-28,1323,Terra,MODIS,33,6.03,284,19.7,N,0
-37.5064,147.5756,338.6,1.4,1.2,2019-12-28,1323,Terra,MODIS,100,6.03,284.5,65,N,0
-37.5094,147.5596,321.8,1.4,1.2,2019-12-28,1323,Terra,MODIS,100,6.03,280.9,31.9,N,0
-37.4886,147.8933,333.8,1.2,1.1,2019-12-29,0026,Terra,MODIS,78,6.03,298.7,31.4,D,0
-37.6105,147.9798,330.2,1.2,1.1,2019-12-29,0026,Terra,MODIS,79,6.03,304.1,24,D,0
-37.4104,147.7419,329,1.2,1.1,2019-12-29,0026,Terra,MODIS,71,6.03,292,29.5,D,0
-37.5141,147.5949,330,1.2,1.1,2019-12-29,0026,Terra,MODIS,49,6.03,272.3,24.7,D,0
-37.5125,147.5818,343.9,1.2,1.1,2019-12-29,0026,Terra,MODIS,87,6.03,278.5,52.9,D,0
-37.4202,147.7402,331.4,1.2,1.1,2019-12-29,0026,Terra,MODIS,0,6.03,289.5,33.5,D,0
-37.4834,147.9345,313.8,1.2,1.1,2019-12-29,0026,Terra,MODIS,31,6.03,294.5,7.5,D,0
-37.5011,147.5695,380.9,1.2,1.1,2019-12-29,0026,Terra,MODIS,100,6.03,284.7,186.7,D,0
-37.5953,149.4213,334.3,1.4,1.2,2019-12-29,0026,Terra,MODIS,87,6.03,294.3,52.6,D,0
-37.3275,148.5204,314.4,1.3,1.1,2019-12-29,0026,Terra,MODIS,48,6.03,281.3,13.2,D,0
-37.5028,147.5832,391.6,1.2,1.1,2019-12-29,0026,Terra,MODIS,100,6.03,283.4,249.2,D,0
-37.6283,147.8716,315.3,1.2,1.1,2019-12-29,0026,Terra,MODIS,57,6.03,301.3,6.3,D,0
-37.5973,147.954,334.1,1.2,1.1,2019-12-29,0026,Terra,MODIS,80,6.03,302.8,30.4,D,0
-37.6097,147.9734,330.3,1.2,1.1,2019-12-29,0026,Terra,MODIS,82,6.03,304.1,24.9,D,0
-37.5969,149.4375,321.3,1.4,1.2,2019-12-29,0026,Terra,MODIS,65,6.03,294.6,26.3,D,0
-37.5989,147.968,327,1.2,1.1,2019-12-29,0026,Terra,MODIS,43,6.03,304.1,17.6,D,0
-37.5479,147.8786,329.7,1.2,1.1,2019-12-29,0026,Terra,MODIS,82,6.03,300.4,23.5,D,0
-37.5428,147.9214,331.1,1.2,1.1,2019-12-29,0026,Terra,MODIS,53,6.03,303.2,25.2,D,0
-37.5412,147.9072,326.4,1.2,1.1,2019-12-29,0026,Terra,MODIS,49,6.03,301.6,18.1,D,0
-37.4969,147.8789,333.3,1.2,1.1,2019-12-29,0026,Terra,MODIS,71,6.03,299.9,28.4,D,0
-37.4917,147.9198,330.5,1.2,1.1,2019-12-29,0026,Terra,MODIS,83,6.03,298.4,29,D,0
-37.4901,147.9064,334.9,1.2,1.1,2019-12-29,0026,Terra,MODIS,85,6.03,298,35,D,0
-37.5989,149.417,361,2.6,1.6,2019-12-29,0440,Aqua,MODIS,100,6.03,298.4,329.2,D,0
-37.6082,149.3932,359.5,2.6,1.6,2019-12-29,0440,Aqua,MODIS,99,6.03,301.8,311.2,D,0
-37.6056,149.3878,367.1,2.6,1.6,2019-12-29,0440,Aqua,MODIS,100,6.03,302.2,397.6,D,0
-37.6013,149.4222,346.2,2.6,1.6,2019-12-29,0440,Aqua,MODIS,92,6.03,298,192.8,D,0
-37.6127,149.4217,323.7,2.6,1.6,2019-12-29,0440,Aqua,MODIS,68,6.03,298.5,58.8,D,0
-37.5364,147.6409,330.8,2.1,1.4,2019-12-29,0441,Aqua,MODIS,55,6.03,297.7,44.7,D,0
-37.558,147.8499,334,2.1,1.4,2019-12-29,0441,Aqua,MODIS,83,6.03,303.9,58.5,D,0
-37.5476,147.8978,339.6,2.1,1.4,2019-12-29,0441,Aqua,MODIS,66,6.03,292.3,86.3,D,0
-37.5527,147.8743,406.4,2.1,1.4,2019-12-29,0441,Aqua,MODIS,94,6.03,304.3,838.9,D,0
-37.5403,147.8693,381.3,2.1,1.4,2019-12-29,0441,Aqua,MODIS,75,6.03,293,437.3,D,0
-37.5236,147.6301,344.6,2.1,1.4,2019-12-29,0441,Aqua,MODIS,91,6.03,298.9,109.2,D,0
-37.504,147.5977,360.3,2.1,1.4,2019-12-29,0441,Aqua,MODIS,75,6.03,298.9,216.8,D,0
-37.6023,147.9483,328.9,2.1,1.4,2019-12-29,0441,Aqua,MODIS,69,6.03,297.8,48.2,D,0
-37.5361,147.634,336.6,2.1,1.4,2019-12-29,0441,Aqua,MODIS,64,6.03,299.3,69,D,0
-37.6354,147.8578,320.2,2.1,1.4,2019-12-29,0441,Aqua,MODIS,44,6.03,298.5,21.1,D,0
-37.6098,147.9762,323.6,2.1,1.4,2019-12-29,0441,Aqua,MODIS,52,6.03,298.6,33.8,D,0
-37.5549,147.9266,325.3,2.1,1.4,2019-12-29,0441,Aqua,MODIS,63,6.03,293.5,33.2,D,0
-37.3948,147.6749,326,2.1,1.4,2019-12-29,0441,Aqua,MODIS,0,6.03,286.5,51,D,0
-37.2262,148.3824,332.9,2.3,1.5,2019-12-29,0441,Aqua,MODIS,40,6.03,295.7,82.3,D,0
-37.5913,149.3785,312.5,2,1.4,2019-12-29,1227,Terra,MODIS,85,6.03,269.7,31.9,N,0
-37.4861,147.8697,354.1,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,300.7,260.9,N,0
-37.4838,147.9038,342.9,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,299.9,172.5,N,0
-37.5001,147.8713,321,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,297.7,58.1,N,0
-37.5278,147.8754,311.3,2.5,1.5,2019-12-29,1227,Terra,MODIS,69,6.03,296.8,27.8,N,0
-37.5162,147.6365,324.8,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,297,78.3,N,0
-37.5303,147.6388,331.2,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,298.6,109,N,0
-37.52,147.6422,326.9,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,297.4,87.3,N,0
-37.4816,147.9348,309.4,2.5,1.5,2019-12-29,1227,Terra,MODIS,32,6.03,295.2,21,N,0
-37.5433,147.937,311.3,2.5,1.5,2019-12-29,1227,Terra,MODIS,27,6.03,296.8,22.8,N,0
-37.504,147.6058,315.5,2.6,1.6,2019-12-29,1227,Terra,MODIS,91,6.03,296.2,44.5,N,0
-37.5181,147.6084,320.4,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,297.1,60.3,N,0
-37.5324,147.6087,322.5,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,297.4,68.1,N,0
-37.6043,147.9497,309.3,2.5,1.5,2019-12-29,1227,Terra,MODIS,54,6.03,295.9,22.3,N,0
